location,Latitude,Longitude
"Rhode Island, Middletown, 2842",41.490682,-71.303343
"Massachusetts, Medway, 2053",42.156282,-71.427663
"Massachusetts, Holliston, 1746",42.2001,-71.4245
"Massachusetts, Norfolk, 2056",42.146081,-71.328749
"Massachusetts, Franklin, 2038",42.08868,-71.404814
"Massachusetts, Sherborn, 1770",42.23899,-71.36978
"Rhode Island, Lincoln, 2865",41.900705,-71.415352
"Massachusetts, Bellingham, 2019",42.076501,-71.470464
"Massachusetts, Wrentham, 2093",42.054311,-71.371169
"Massachusetts, Plainville, 2762",42.00427,-71.33283
"Rhode Island, Lincoln, 2802",41.900705,-71.415352
"Massachusetts, Dover, 2030",42.236114,-71.283072
"Rhode Island, Providence, 2908",41.83019,-71.383513
"Rhode Island, Coventry, 2816",41.694251,-71.636786
"Rhode Island, Barrington, 2806",41.742501,-71.320395
"Rhode Island, Providence, 2905",41.83019,-71.383513
"Rhode Island, Smithfield, 2917",41.940608,-71.399089
"Rhode Island, Johnston, 2919",41.855999,-71.490241
"Rhode Island, Cranston, 2910",41.785289,-71.462199
"Rhode Island, Pawtucket, 2860",41.868861,-71.372945
"Rhode Island, Cranston, 2920",41.785289,-71.462199
"Rhode Island, Providence, 2909",41.83019,-71.383513
"Rhode Island, Providence, 2904",41.83019,-71.383513
"Rhode Island, West Warwick, 2893",41.67543,-71.380594
"Rhode Island, Warwick, 2889",41.67543,-71.380594
"Rhode Island, Cranston, 2905",41.785289,-71.462199
"Rhode Island, Providence, 2910",41.83019,-71.383513
"Rhode Island, Warwick, 2888",41.67543,-71.380594
"Rhode Island, Central Falls, 2863",41.940608,-71.399089
